Date,Biomass,Coal,Gas,Gas-CC,Hydro,Nuclear,Other,Solar,WSL,Wind,total_all_fuels
2022-05-25,536.721826,114560.983088,60554.312786,349711.89193,2001.765151,121135.157851,1592.726956,60768.308846,-1388.841502,322396.431965,1031869.458897
2022-05-26,1734.60574,141353.854836,106982.531233,469413.212429,1800.33494,121052.084398,1911.125992,108215.707121,-2235.016084,164672.541952,1114900.9825570001
2022-05-27,2691.218379,146999.088245,98801.147433,446532.509196,1815.451513,120797.149838,1779.121118,103015.861032,-1852.981733,310858.893097,1231437.458118
2022-05-28,2570.413819,154533.906714,53915.562919,326190.020049,1728.704421,120434.45579,1384.641598,68424.833854,-1657.172711,523268.983355,1250794.349808
2022-05-29,2556.714685,165916.697875,38174.505929,296360.410663,1600.135708,120390.896361,1382.435074,63464.872678,-1603.230936,592005.166396,1280248.604433
2022-05-30,2606.401742,176140.101512,46519.162558,333434.085848,1684.359807,120617.172272,1472.283398,87062.867223,-1723.967883,547673.436717,1315485.903194
2022-05-31,2625.93053,191000.327896,78165.524279,407689.111652,1819.267565,120676.758509,1436.362447,78983.514204,-1829.34239,515075.421504,1395642.876196
2022-06-01,2223.949632,188381.04002,95983.630104,502840.734623,1801.698548,120668.362477,1551.277486,66751.872501,-2047.402555,359323.188562,1337478.3513979998
2022-06-02,2315.048293,210384.812479,118381.030724,571254.054455,1575.047332,120640.869477,1473.758209,57412.318036,-1420.872241,154249.435612,1236265.502376
2022-06-03,2207.067121,211102.454137,68224.15227,551301.38271,1467.496434,120452.114938,1524.075782,81953.943694,-1712.669865,170598.454046,1207118.471267
2022-06-04,2356.888114,222665.539792,50887.217565,483744.897568,1732.62596,120348.186283,1950.041936,87082.584701,-2476.530311,215334.221726,1183625.6733340002
2022-06-05,2262.521549,185469.219494,49795.308959,410774.730645,2100.099273,120182.88982,1578.907081,90591.73084,-1566.855472,415271.722133,1276460.274322
2022-06-06,1960.273206,217709.088038,105505.025402,470814.748186,2170.550837,120218.781661,1692.386254,100960.608357,-2053.598615,374381.140159,1393359.003485
